ID,Loan no,Latitude,Longitude,State,Area,Branch,Status,DPD,Disbursal date,Product,Asset_Colleteral_Value,Carpet Area(SQFT),Year
35,LXBAR02924-250041639,28.781241,79.028111,UK & UP,A - 2 Kanpur,Bareilly,A,0,09-12-2024 00:00,HL,5758200,1484,2024
36,LXBIA02924-250042016,23.964396,77.066614,MP,A - 2 Bhopal,Biaora,A,0,20-09-2024 00:00,HL,1195200,1536,2024
37,LXHRD02424-250041572,29.949021,78.056985,UK & UP,A - 1 Dehradun,Haridwar,A,0,09-10-2024 00:00,LAP,3587500,875,2024
38,LXHIS04124-250042425,29.159293,75.726434,HR,A - 2 Rohtak,Hissar,C,0,27-09-2024 00:00,STBLP,2832984,441,2024
39,LXNAG01224-250041966,23.303349,75.335185,MP,A - 1 Indore,Nagda,A,0,19-09-2024 00:00,HL,1214000,1800,2024
40,LXIND04124-250041785,22.9804,75.833725,MP,A - 1 Indore,Indore,C,0,16-09-2024 00:00,STBLP,2280000,1200,2024
41,LXLAX03224-250042647,28.7329405,77.2666281,NCR,NCR,Laxmi Nagar,A,0,29-09-2024 00:00,BL,5040000,720,2024
42,LXBML03224-250042038,24.755425,71.76026,RJ-UP-3,A - 5 Jodhpur,Bhinmal,C,25,20-09-2024 00:00,BL,3836800,480,2024
43,LXFAR03624-250041586,28.398417,77.412167,NCR,NCR,Faridabad,A,3,09-11-2024 00:00,STBL,985600,624,2024
44,LXJPR02924-250042322,26.802325,75.766195,RJ-UP-1,A - 1 Jaipur,Jaipur,C,20,26-09-2024 00:00,HL,1150000,200,2024
45,LXHLD03624-250041868,29.222849,79.534099,UK & UP,A - 1 Dehradun,Haldwani,A,0,18-09-2024 00:00,STBL,2638000,450,2024
46,LXSON02924-250042200,29.002903,77.016161,HR,A - 2 Rohtak,Sonipat,A,0,24-09-2024 00:00,HL,1937000,621,2024
47,LXBHL02924-250041626,25.018889,74.771111,RJ-UP-2,A - 4 Bhilwara,Bhilwara,A,0,09-12-2024 00:00,HL,768000,192,2024
48,LXMOR03624-250042039,28.82874,78.668964,UK & UP,A - 1 Dehradun,Moradabad,A,8,20-09-2024 00:00,STBL,2182351,688,2024
49,LXJHL02824-250042097,24.926194,76.285461,RJ-UP-3,A - 7 Kota,Jhalawar,A,0,20-09-2024 00:00,LAP,1465550,906,2024
50,LXSWA02924-250041652,26.492499,76.757208,RJ-UP-3,A - 7 Kota,Sawai Madhopur,A,8,13-09-2024 00:00,HL,1818400,1364,2024
51,LXNKT02924-250042053,27.779741,75.741511,RJ-UP-1,A - 1 Jaipur,Neem Ka Thana,A,0,20-09-2024 00:00,HL,2919348,1130,2024
52,LXLUC02924-250041606,26.848242,80.879543,UK & UP,A - 2 Kanpur,Lucknow,C,25,09-11-2024 00:00,HL,2873600,388,2024
53,LXJAB02924-250042312,23.15376,79.799953,MP,A - 2 Bhopal,Jabalpur,A,0,26-09-2024 00:00,HL,2079000,945,2024
54,LXJNP02924-250042224,28.626389,77.046278,NCR,NCR,Janakpuri,A,0,24-09-2024 00:00,HL,2041200,540,2024
55,LXRUD03624-250042222,29.0111,79.2499,UK & UP,A - 1 Dehradun,Rudrapur,A,8,24-09-2024 00:00,STBL,3462150,3627,2024
56,LXJNP02924-250042375,28.613791,77.0788019,NCR,NCR,Janakpuri,A,0,27-09-2024 00:00,HL,2072700,423,2024
57,LXCHD02924-250042290,30.763571,76.809614,HR,A - 1 Chandigarh,Chandigarh,C,16,26-09-2024 00:00,HL,2044000,450,2024
58,LXHAN02824-250041938,29.37093,74.336321,HR,A - 2 Rohtak,Hanumangarh,A,0,19-09-2024 00:00,LAP,2905000,5500,2024
59,LXSUM02324-250041909,24.917448,73.137586,RJ-UP-3,A - 5 Jodhpur,Sumerpur,A,8,19-09-2024 00:00,LAP,2436500,1870,2024
60,LXSHR02824-250041932,29.775248,77.378244,UK & UP,A - 1 Dehradun,Saharanpur,A,0,20-09-2024 00:00,LAP,2993959,2660,2024
61,LXJPR02924-250041710,26.849852,75.881502,RJ-UP-1,A - 2 Jaipur 2,Jaipur-2,C,6,13-09-2024 00:00,HL,2438000,450,2024
62,LXBEA02324-250042184,26.099647,74.329171,RJ-UP-2,A - 3 Ajmer,Beawar,A,3,23-09-2024 00:00,LAP,3199875,928,2024
63,LXBHP03624-250041885,23.21119,77.329189,MP,A - 2 Bhopal,Bhopal,A,0,18-09-2024 00:00,STBL,1681000,1400,2024
64,LXMND02924-250042230,24.248389,75.201722,MP,A - 1 Indore,Mandsaur,A,0,24-09-2024 00:00,HL,912000,480,2024
65,LXJNP02924-250042179,28.658459,77.0676976,NCR,NCR,Janakpuri,C,0,23-09-2024 00:00,HL,2103750,450,2024
66,LXROO02924-250042616,29.874519,77.319605,UK & UP,A - 1 Dehradun,Roorkee,A,8,29-09-2024 00:00,LAP,1758300,3663,2024
67,LXRAT03624-250042400,22.93102,74.941879,MP,A - 1 Indore,Ratlam,A,0,27-09-2024 00:00,STBL,1419000,1935,2024
68,LXSAH03624-250042743,28.7050004,77.2939164,NCR,NCR,Sahibabad,A,0,30-09-2024 00:00,STBL,2318937,261,2024
69,LXKND01124-250042280,21.835058,76.339476,MP,A - 1 Indore,Khandwa,A,0,25-09-2024 00:00,HL,2005500,525,2024
70,LXHRD02424-250043789,29.931835,78.05277,UK & UP,A - 1 Dehradun,Haridwar,A,0,26-10-2024 00:00,LAP,2899931,774,2024
71,LXJOD02924-250041682,26.335125,73.068673,RJ-UP-3,A - 5 Jodhpur,Jodhpur,A,0,13-09-2024 00:00,HL,3323700,952,2024
72,LXKUR03224-250042005,29.841884,76.801076,HR,A - 1 Chandigarh,Kurukshetra,A,0,20-09-2024 00:00,BL,1995000,2250,2024
73,LXMND02324-250042500,24.359196,74.997006,MP,A - 1 Indore,Mandsaur,A,8,28-09-2024 00:00,LAP,2991900,2806,2024
74,LXBEH02424-250041666,27.804535,76.226986,RJ-UP-1,A - 1 Jaipur,Behror,C,0,09-12-2024 00:00,LAP,3391500,1785,2024
75,LXBIJ04124-250042270,25.933931,74.420736,RJ-UP-2,A - 4 Bhilwara,Bijainagar,A,3,26-09-2024 00:00,STBLP,917600,2232,2024
76,LXFAR03624-250041749,28.289056,77.343639,NCR,NCR,Faridabad,A,0,14-09-2024 00:00,STBL,1137474,875,2024
77,LXSRS03624-250042713,29.6217,74.932,HR,A - 2 Rohtak,Sirsa,A,8,30-09-2024 00:00,STBL,1327680,1836,2024
78,LXJNP03624-250042231,28.7504,77.18493,NCR,NCR,Janakpuri,A,0,24-09-2024 00:00,STBL,1022000,225,2024
79,LXRAT01124-250042328,23.22545149,74.839647,MP,A - 1 Indore,Ratlam,A,0,26-09-2024 00:00,HL,1700000,400,2024
80,LXKAS02924-250041711,29.3710883,78.69893,UK & UP,A - 1 Dehradun,Kashipur,C,0,14-09-2024 00:00,HL,2475100,3067,2024
81,LXBUR01124-250042668,28.73998014,77.26030062,NCR,NCR,Burari,C,19,30-09-2024 00:00,HL,4788000,720,2024
82,LXMEE04124-250041978,28.7959,77.7435,NCR,NCR,Meerut,C,20,19-09-2024 00:00,STBLP,1775800,1350,2024
83,LXKOT03624-250042279,25.175424,75.85831,RJ-UP-3,A - 7 Kota,Kota,A,0,25-09-2024 00:00,STBL,2517500,750,2024
84,LXHRD02924-250042679,29.882877,77.917074,UK & UP,A - 1 Dehradun,Haridwar,C,25,30-09-2024 00:00,HL,3472100,760,2024
85,LXAMB03624-250041905,30.199062,76.896535,HR,A - 1 Chandigarh,Ambala,A,0,19-09-2024 00:00,STBL,1317734,2086,2024
86,LXDEO03624-250041746,25.443774,75.676248,RJ-UP-3,A - 7 Kota,Deoli,C,0,14-09-2024 00:00,STBL,840000,600,2024
87,LXJHN03224-250042719,28.372274,75.620443,RJ-UP-1,A - 2 Jaipur 2,Jhunjhunu,A,0,30-09-2024 00:00,BL,4551120,725,2024
88,LXKOT03624-250041835,25.138237,75.876137,RJ-UP-3,A - 7 Kota,Kota,A,0,18-09-2024 00:00,STBL,1720000,700,2024
89,LXVKN02924-250041611,30.435028,77.569306,UK & UP,A - 1 Dehradun,Vikas Nagar,A,0,09-12-2024 00:00,HL,2836800,2268,2024
90,LXBAR03624-250042254,24.759679,76.731654,RJ-UP-3,A - 7 Kota,Baran,A,8,25-09-2024 00:00,STBL,1400000,800,2024
91,LXDEO03024-250041556,25.695244,75.219292,RJ-UP-3,A - 7 Kota,Deoli,A,0,09-09-2024 00:00,HL,2275240,1782,2024
92,LXBHL02324-250042418,25.430969,74.979693,RJ-UP-2,A - 4 Bhilwara,Bhilwara,A,0,27-09-2024 00:00,LAP,888400,1892,2024
93,LXGAJ04124-250043261,23.747694,77.88541,MP,A - 2 Bhopal,Gajbasoda,C,0,18-10-2024 00:00,STBLP,928200,1092,2024
94,LXLAX02824-250042733,28.624491,77.425873,NCR,NCR,Laxmi Nagar,A,0,30-09-2024 00:00,LAP,1931400,522,2024
95,LXMOR02924-250042742,28.54804,78.568932,UK & UP,A - 1 Dehradun,Moradabad,C,26,30-09-2024 00:00,HL,1246700,455,2024
96,LXFZB02924-250041691,26.778184,82.20579,UK & UP,A - 2 Kanpur,Faizabad,C,0,13-09-2024 00:00,HL,3978000,780,2024
97,LXAGR02924-250042657,27.227028,78.06126,RJ-UP-1,A - 1 Jaipur,Agra,A,0,29-09-2024 00:00,LAP,2046800,952,2024
98,LXCGH02924-250042717,24.56018,75.819485,RJ-UP-2,A - 4 Bhilwara,Chittorgarh,A,0,30-09-2024 00:00,LAP,2044700,1960,2024
99,LXMTH02824-250042122,27.45588,75.841166,RJ-UP-1,A - 1 Jaipur,Mathura,A,0,20-09-2024 00:00,LAP,1843200,1152,2024
100,LXGGN02924-250041951,28.760694,77.933482,NCR,NCR,Gurgaon,C,20,19-09-2024 00:00,HL,9070000,436,2024
101,LXCHO04124-250042026,27.180138,75.278053,RJ-UP-1,A - 2 Jaipur 2,Chomu,C,0,20-09-2024 00:00,STBLP,821440,2108,2024
102,LXKRN03624-250042513,29.685406,78.016863,HR,A - 1 Chandigarh,Karnal,A,0,28-09-2024 00:00,STBL,4340700,1800,2024
103,LXVDI04124-250042015,23.852576,75.883453,MP,A - 2 Bhopal,Vidisha,A,0,20-09-2024 00:00,STBLP,1240000,1000,2024
104,LXAGR02924-250042538,27.239011,77.970672,RJ-UP-1,A - 1 Jaipur,Agra,A,0,28-09-2024 00:00,HL,1347900,581,2024
105,LXROH03624-250042423,28.482832,77.08928719,HR,A - 2 Rohtak,Rohtak,A,62,27-09-2024 00:00,STBL,1006176,1076,2024
106,LXKUR03624-250042099,29.8897,75.95006,HR,A - 1 Chandigarh,Kurukshetra,A,0,20-09-2024 00:00,STBL,994400,945,2024
107,LXHAN03624-250043118,29.174302,77.954768,HR,A - 2 Rohtak,Hanumangarh,C,26,16-10-2024 00:00,STBL,1662000,1320,2024
108,LXPPT02824-250041985,29.4006,77.942956,HR,A - 2 Rohtak,Panipat,A,3,19-09-2024 00:00,LAP,4408215,1413,2024
109,LXKND02924-250042253,21.870283,73.691938,MP,A - 1 Indore,Khandwa,A,0,25-09-2024 00:00,HL,1717500,825,2024
110,LXCHD02924-250041824,30.752887,77.935925,HR,A - 1 Chandigarh,Chandigarh,C,0,18-09-2024 00:00,HL,3206250,641,2024
111,LXRAT02924-250041843,22.727902,75.883453,MP,A - 1 Indore,Ratlam,A,0,18-09-2024 00:00,HL,1298400,1556,2024
112,LXKAN03224-250042232,26.4523,75.8733,UK & UP,A - 2 Kanpur,Kanpur,A,3,24-09-2024 00:00,BL,2560000,0,2024
113,LXBHL02924-250042258,25.263286,77.100789,RJ-UP-2,A - 4 Bhilwara,Bhilwara,A,0,25-09-2024 00:00,HL,1185000,1540,2024
114,LXREN02924-250041614,27.177595,75.931035,RJ-UP-1,A - 2 Jaipur 2,Reengus,A,0,09-11-2024 00:00,HL,2087100,8000,2024
115,LXNKT03424-250041933,27.741655,75.499637,RJ-UP-1,A - 1 Jaipur,Neem Ka Thana,A,3,19-09-2024 00:00,BL,3800000,500,2024
116,LXDEW02924-250041784,22.932722,77.993732,MP,A - 1 Indore,Dewas,A,0,16-09-2024 00:00,HL,1184000,860,2024
117,LXMER02324-250041917,26.557083,75.814908,RJ-UP-2,A - 3 Ajmer,Merta,C,0,19-09-2024 00:00,LAP,832395,663,2024
118,LXRTG02924-250042750,28.070915,75.828996,RJ-UP-1,A - 3 Sikar,Ratangarh-RRM-BKNR,A,0,30-09-2024 00:00,HL,4214000,4400,2024
119,LXREN03324-250042121,27.223335,75.819606,RJ-UP-1,A - 2 Jaipur 2,Reengus,A,0,20-09-2024 00:00,BL,2600000,2000,2024
120,LXSKR01124-250041971,26.913332,75.818575,RJ-UP-1,A - 2 Jaipur 2,Sikar Road,A,0,19-09-2024 00:00,HL,2505150,800,2024
121,LXFZB02824-250041623,26.600647,75.878531,UK & UP,A - 2 Kanpur,Faizabad,A,0,09-12-2024 00:00,LAP,2738400,1180,2024
122,LXKHA02924-250041757,21.838286,75.857768,MP,A - 1 Indore,Khargone,A,0,14-09-2024 00:00,HL,1685000,725,2024
123,LXAJM03624-250041952,26.47578,74.21446,RJ-UP-2,A - 3 Ajmer,Ajmer,A,8,19-09-2024 00:00,STBL,1085950,700,2024
124,LXCHD02424-250042291,30.734895,75.889865,HR,A - 1 Chandigarh,Chandigarh,A,0,26-09-2024 00:00,LAP,2433600,450,2024
125,LXRUD02824-250042487,28.98784,75.841185,UK & UP,A - 1 Dehradun,Rudrapur,A,8,28-09-2024 00:00,LAP,2065920,384,2024
126,LXKTH03624-250041568,29.621426,75.818621,HR,A - 1 Chandigarh,Kaithal,A,0,09-10-2024 00:00,STBL,1687900,540,2024
127,LXSON01224-250043264,29.070703,75.989289,HR,A - 2 Rohtak,Sonipat,A,0,21-10-2024 00:00,HL,1741500,900,2024
128,LXKAL02324-250042667,27.0083082,75.114391,RJ-UP-1,A - 2 Jaipur 2,Kalwar Road,A,0,30-09-2024 00:00,LAP,3153600,657,2024
129,LXMND02924-250042249,23.997814,77.83891,MP,A - 1 Indore,Mandsaur,A,0,25-09-2024 00:00,HL,2373100,1431,2024
130,LXFTH02924-250042194,24.820117,75.843791,RJ-UP-3,A - 6 Udaipur,Fatehnagar,A,0,24-09-2024 00:00,HL,3116400,2436,2024
131,LXBAR02924-250042374,28.231038,82.241312,UK & UP,A - 2 Kanpur,Bareilly,A,0,27-09-2024 00:00,HL,5536800,2376,2024
132,LXHAN03624-250042297,29.633594,80.634306,HR,A - 2 Rohtak,Hanumangarh,A,8,26-09-2024 00:00,STBL,1859850,1410,2024
133,LXGGN03624-250041775,28.7069,75.817608,NCR,NCR,Gurgaon,A,0,16-09-2024 00:00,STBL,1472100,243,2024
134,LXKUR03624-250042303,30.0828,75.826618,HR,A - 1 Chandigarh,Kurukshetra,A,0,26-09-2024 00:00,STBL,1156410,693,2024
135,LXJNP02924-250041701,28.615681,75.838206,NCR,NCR,Janakpuri,C,0,13-09-2024 00:00,HL,5760000,360,2024
136,LXJNP02924-250042469,28.648194,75.910341,NCR,NCR,Janakpuri,C,0,28-09-2024 00:00,HL,5250000,2160,2024
137,LXTRN04224-250042352,28.563341,75.823982,RJ-UP-1,A - 2 Jaipur 2,Tara Nagar,A,0,27-09-2024 00:00,STBLP,1038975,1061,2024
138,LXSHR03624-250041923,29.699861,75.190666,UK & UP,A - 1 Dehradun,Saharanpur,A,0,19-09-2024 00:00,STBL,1530000,1800,2024
139,LXCHD04124-250042450,30.744544,74.855722,HR,A - 1 Chandigarh,Chandigarh,C,20,28-09-2024 00:00,STBLP,3437800,1125,2024
140,LXPRG03224-250042812,25.5435,75.190666,UK & UP,A - 2 Kanpur,Prayagraj,C,0,30-09-2024 00:00,BL,5120000,2000,2024
141,LXJHN02924-250042345,28.322022,78.721783,RJ-UP-1,A - 2 Jaipur 2,Jhunjhunu,A,0,26-09-2024 00:00,HL,1623000,0,2024
142,LXBUR02824-250042417,28.701554,75.290202,NCR,NCR,Burari,C,20,27-09-2024 00:00,LAP,5913000,900,2024
143,LXKND02924-250041861,22.052211,75.858957,MP,A - 1 Indore,Khandwa,A,0,18-09-2024 00:00,HL,666000,675,2024
144,LXKHA02924-250042010,21.704067,78.454212,MP,A - 1 Indore,Khargone,A,0,20-09-2024 00:00,HL,2077500,675,2024
145,LXJPR02924-250042265,26.96195,76.90904,RJ-UP-1,A - 1 Jaipur,Jaipur,A,0,25-09-2024 00:00,HL,1035000,450,2024
146,LXNAG02924-250042024,23.707856,56.435687,MP,A - 1 Indore,Nagda,A,0,20-09-2024 00:00,HL,1302000,600,2024
147,LXKUR03224-250042685,29.953123,76.886644,HR,A - 1 Chandigarh,Kurukshetra,A,0,30-09-2024 00:00,BL,1873076,1188,2024
148,LXJPR02924-250042166,26.860178,76.829905,RJ-UP-1,A - 2 Jaipur 2,Jaipur-2,A,3,23-09-2024 00:00,HL,2023388,525,2024
149,LXJAL02924-250041979,25.657985,78.111106,RJ-UP-3,A - 5 Jodhpur,Jalore,C,0,20-09-2024 00:00,HL,4019285,6791,2024
150,LXFTH02824-250041648,24.877016,74.838751,RJ-UP-3,A - 6 Udaipur,Fatehnagar,A,0,09-12-2024 00:00,LAP,1120320,1030,2024
151,LXGUN02324-250042390,24.972046,75.832856,MP,A - 2 Bhopal,Guna,A,0,27-09-2024 00:00,LAP,1350000,750,2024
152,LXJNP02924-250041576,28.644674,76.33635,NCR,NCR,Janakpuri,C,21,09-10-2024 00:00,HL,4005000,900,2024
153,LXFAR03624-250041754,28.289759,77.644991,NCR,NCR,Faridabad,A,0,14-09-2024 00:00,STBL,965500,495,2024
154,LXNOI02924-250042234,28.616164,75.858957,NCR,NCR,Noida,A,0,24-09-2024 00:00,HL,3017250,225,2024
155,LXPPT03624-250042078,29.41538,75.594939,HR,A - 2 Rohtak,Panipat,A,0,20-09-2024 00:00,STBL,2678049,1351,2024
156,LXCGH02924-250042486,24.548194,74.145488,RJ-UP-2,A - 4 Bhilwara,Chittorgarh,C,0,28-09-2024 00:00,HL,3304000,2360,2024
157,LXHSN03024-250041658,22.678162,76.860871,MP,A - 2 Bhopal,Hoshangabad,A,8,09-12-2024 00:00,HL,3548000,1040,2024
158,LXLAX02824-250042732,28.518111,77.970672,NCR,NCR,Laxmi Nagar,A,0,30-09-2024 00:00,LAP,5310000,900,2024
159,LXSIR02824-250042266,24.491285,78.124365,RJ-UP-3,A - 5 Jodhpur,Sirohi,A,0,25-09-2024 00:00,LAP,734740,634,2024
160,LXPPT02824-250041893,29.40635,78.034725,HR,A - 2 Rohtak,Panipat,C,0,19-09-2024 00:00,LAP,3871725,675,2024
161,LXHRD02924-250041637,29.969972,75.978445,UK & UP,A - 1 Dehradun,Haridwar,A,0,09-12-2024 00:00,HL,1844200,665,2024
162,LXROH02924-250042250,28.9428,78.04433,HR,A - 2 Rohtak,Rohtak,A,0,25-09-2024 00:00,HL,2788427,599,2024
163,LXGUN02924-250043694,24.982129,7.2606,MP,A - 2 Bhopal,Guna,A,0,24-10-2024 00:00,HL,1706000,0,2024
164,LXHAN03224-250041762,29.18683,77.958133,HR,A - 2 Rohtak,Hanumangarh,A,0,14-09-2024 00:00,BL,6041466,1298,2024
165,LXBAR03624-250042274,28.735991,75.57255325,UK & UP,A - 2 Kanpur,Bareilly,A,251,26-09-2024 00:00,STBL,1150537,3731,2024
166,LXDHA01124-250041831,22.595602,75.819485,MP,A - 1 Indore,Dhar,A,0,17-09-2024 00:00,HL,4131000,2295,2024
167,LXLAX02824-250042391,28.62627,83.125013,NCR,NCR,Laxmi Nagar,A,0,27-09-2024 00:00,LAP,990600,450,2024
168,LXSHP01224-250043429,25.243504,75.896306,RJ-UP-2,A - 4 Bhilwara,Shahpura,A,3,19-10-2024 00:00,HL,2139600,1426,2024
169,LXMHB04124-250042430,16.446119,77.08928719,Telangana,A - 1 Hyderabad,Mahbubnagar,A,0,27-09-2024 00:00,STBLP,2153135,695,2024
170,LXTRN02924-250042241,28.676125,81.899233,RJ-UP-1,A - 2 Jaipur 2,Tara Nagar,A,0,25-09-2024 00:00,HL,3359038,2136,2024
171,LXBEA02924-250042489,25.048948,81.143953,RJ-UP-2,A - 3 Ajmer,Beawar,A,0,28-09-2024 00:00,HL,5362400,1800,2024
172,LXUDP04124-250042397,24.582524,80.096213,RJ-UP-3,A - 6 Udaipur,Udaipur,C,18,27-09-2024 00:00,STBLP,4531200,1200,2024
173,LXSAG02824-250041788,23.591928,75.839263,RJ-UP-3,A - 6 Udaipur,Sagwara,A,0,16-09-2024 00:00,LAP,1644000,1320,2024
174,LXGAJ02924-250042419,23.845919,82.240103,MP,A - 2 Bhopal,Gajbasoda,C,0,27-09-2024 00:00,HL,6601200,1200,2024
175,LXROO03024-250041734,29.833552,76.35737,UK & UP,A - 1 Dehradun,Roorkee,A,0,14-09-2024 00:00,LAP,3430800,5208,2024
176,LXDHR03624-250041662,30.325485,81.505194,UK & UP,A - 1 Dehradun,Dehradun,C,66,09-12-2024 00:00,STBL,3868350,1110,2024
177,LXUJJ02924-250042317,23.192528,81.860167,MP,A - 1 Indore,Ujjain,A,0,26-09-2024 00:00,HL,1355000,450,2024
178,LXLUD03224-250042720,30.95093,76.498583,HR,A - 1 Chandigarh,Ludhiana,A,0,30-09-2024 00:00,BL,500000,113,2024
179,LXJNP02424-250042186,28.6186,78.12992647,NCR,NCR,Janakpuri,A,62,23-09-2024 00:00,LAP,11333400,1125,2024
180,LXAMB02824-250042828,30.345211,81.887557,HR,A - 1 Chandigarh,Ambala,A,0,30-09-2024 00:00,LAP,1980227,1378,2024
181,LXMOR02824-250042212,28.581822,83.34969,UK & UP,A - 1 Dehradun,Moradabad,A,0,25-09-2024 00:00,LAP,3069516,1350,2024
182,LXSKR02924-250041751,26.9341013,81.74164,RJ-UP-1,A - 2 Jaipur 2,Sikar Road,A,0,14-09-2024 00:00,HL,1255500,450,2024
183,LXPRA02424-250041963,23.700262,80.68944,RJ-UP-2,A - 4 Bhilwara,Pratapgarh,A,0,19-09-2024 00:00,LAP,4800000,1500,2024
184,LXSIK04124-250042740,27.704517,83.408436,RJ-UP-1,A - 2 Jaipur 2,Sikar,C,0,30-09-2024 00:00,STBLP,4103520,8976,2024
185,LXROO04124-250042453,29.476282,75.818575,UK & UP,A - 1 Dehradun,Roorkee,A,8,28-09-2024 00:00,STBLP,1200000,960,2024
186,LXVAR02924-250045061,25.236466,75.499637,UK & UP,A - 2 Kanpur,Varanasi,A,0,26-11-2024 00:00,HL,1457000,550,2024
187,LXJPR02224-250042523,26.7932964,75.910646,RJ-UP-1,A - 2 Jaipur 2,Jaipur-2,C,18,28-09-2024 00:00,LAP,2560000,720,2024
